Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%),Date de lancement
Créa Podcast Omega-3 - Lisa,Omega-3,Lisa Garcia,Podcast,Éducation,Le meilleur rapport qualité-prix,Octobre 2025,En pause,1490.31,105,2593.14,1.74,14.19,144774,4141,2.86,2025-10-27
Créa Image statique Abonnement - Laura,Abonnement,Laura Davis,Image statique,Convenience,Ne manquez jamais votre dose,Octobre 2025,Arrêtée,1154.80,57,2829.26,2.45,20.26,138055,2830,2.05,2025-10-19
Créa Podcast Abonnement - Laura,Abonnement,Laura Davis,Podcast,Éducation,Ma transformation en 2 mois,Août 2025,En pause,2412.69,56,8034.26,3.33,43.08,225221,8446,3.75,2025-08-03
Créa UGC Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,UGC,Convenience,Mon cœur me remercie,Novembre 2025,En pause,2119.43,17,3730.20,1.76,124.67,128106,4279,3.34,2025-11-18
Créa Motion/Vidéo Omega-3 - Dr.,Omega-3,Dr. Robert White,Motion/Vidéo,Testimonial,Parfait pour voyager,Juillet 2025,Archivée,1053.88,22,3098.41,2.94,47.90,255907,5297,2.07,2025-07-24
Créa Motion/Vidéo Shaker - Alex,Shaker,Alex Johnson,Motion/Vidéo,Santé,Économisez avec le bundle,Août 2025,Arrêtée,2668.34,15,7044.42,2.64,177.89,57516,2209,3.84,2025-08-02
Créa Témoignage Vitamine D3+K2 - David,Vitamine D3+K2,David Chen,Témoignage,Éducation,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,Arrêtée,1765.44,149,5914.22,3.35,11.85,212641,4487,2.11,2025-10-08
Créa Image statique Omega-3 - Kevin,Omega-3,Kevin Taylor,Image statique,Éducation,Essentiel en hiver,Septembre 2025,En ligne,2689.95,18,5460.60,2.03,149.44,205975,7456,3.62,2025-09-21
Créa Image statique Vitamine D3+K2 - Laura,Vitamine D3+K2,Laura Davis,Image statique,Testimonial,Essentiel en hiver,Septembre 2025,En pause,2405.00,66,6830.20,2.84,36.44,247473,7795,3.15,2025-09-18
Créa Image statique AG1 Travel Packs - Anna,AG1 Travel Packs,Anna Schmidt,Image statique,Santé,Le shaker qui change tout,Septembre 2025,En ligne,1853.93,38,1557.30,0.84,48.79,223473,6391,2.86,2025-09-03
Créa Témoignage Shaker - David,Shaker,David Chen,Témoignage,Valeur,Économisez avec le bundle,Octobre 2025,En pause,2163.79,52,6058.61,2.80,41.61,298642,9347,3.13,2025-10-26
Créa Témoignage AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Témoignage,Santé,Parfait pour voyager,Novembre 2025,Arrêtée,2549.34,148,8361.84,3.28,17.23,271729,6766,2.49,2025-11-07
Créa Motion/Vidéo Shaker - Dr.,Shaker,Dr. James Smith,Motion/Vidéo,Éducation,Ma transformation en 2 mois,Juillet 2025,Arrêtée,974.71,82,1618.02,1.66,11.89,139873,3916,2.80,2025-07-08
Créa Témoignage Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Robert White,Témoignage,Convenience,Emportez AG1 partout,Novembre 2025,En pause,2545.12,23,7609.91,2.99,110.66,68810,2298,3.34,2025-11-07
Créa Image statique AG1 Travel Packs - Anna,AG1 Travel Packs,Anna Schmidt,Image statique,Santé,Mon cœur me remercie,Juillet 2025,En pause,1189.94,95,3510.32,2.95,12.53,253880,7820,3.08,2025-07-17
Créa Podcast Bundle Complet - Anna,Bundle Complet,Anna Schmidt,Podcast,Testimonial,Économisez avec le bundle,Août 2025,Archivée,1346.02,126,767.23,0.57,10.68,273338,9868,3.61,2025-08-22
Créa Motion/Vidéo Abonnement - Tom,Abonnement,Tom Brown,Motion/Vidéo,Éducation,Emportez AG1 partout,Novembre 2025,Arrêtée,2984.12,76,7728.87,2.59,39.26,283357,7537,2.66,2025-11-22
Créa UGC Abonnement - Kevin,Abonnement,Kevin Taylor,UGC,Convenience,Le shaker qui change tout,Août 2025,Arrêtée,1205.71,27,1217.77,1.01,44.66,112472,3667,3.26,2025-08-12
Créa Motion/Vidéo Abonnement - Dr.,Abonnement,Dr. Michael Lee,Motion/Vidéo,Éducation,Ne manquez jamais votre dose,Octobre 2025,Archivée,1791.14,150,4513.67,2.52,11.94,185931,7288,3.92,2025-10-04
Créa Image statique AG1 Travel Packs - Julie,AG1 Travel Packs,Julie Bernard,Image statique,Accessoire,N'oubliez plus jamais,Octobre 2025,En ligne,2970.70,103,9565.65,3.22,28.84,231417,7822,3.38,2025-10-03
Créa Image statique Abonnement - Dr.,Abonnement,Dr. Michael Lee,Image statique,Accessoire,Ma transformation en 2 mois,Novembre 2025,Archivée,1036.53,109,1627.35,1.57,9.51,96397,2217,2.30,2025-11-25
Créa Podcast Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,Podcast,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Juillet 2025,En ligne,2063.08,63,3465.97,1.68,32.75,122484,3907,3.19,2025-07-27
Créa UGC AG1 Powder - Camille,AG1 Powder,Camille Rousseau,UGC,Valeur,Mon expérience avec Omega-3,Novembre 2025,Arrêtée,647.86,86,1755.70,2.71,7.53,246276,6280,2.55,2025-11-01
Créa Podcast Bundle Complet - Kevin,Bundle Complet,Kevin Taylor,Podcast,Accessoire,Ne manquez jamais votre dose,Septembre 2025,Archivée,1357.88,23,3883.54,2.86,59.04,170827,5398,3.16,2025-09-12
Créa Motion/Vidéo Bundle Complet - Sophie,Bundle Complet,Sophie Martin,Motion/Vidéo,Santé,Le shaker qui change tout,Octobre 2025,Archivée,2348.50,63,5307.61,2.26,37.28,220544,7432,3.37,2025-10-15
Créa Témoignage AG1 Powder - Paul,AG1 Powder,Paul Martinez,Témoignage,Testimonial,Parfait pour voyager,Septembre 2025,Archivée,2997.81,111,8963.45,2.99,27.01,169265,3639,2.15,2025-09-26
Créa Podcast Abonnement - Claire,Abonnement,Claire Anderson,Podcast,Testimonial,N'oubliez plus jamais,Août 2025,En pause,1388.19,62,1638.06,1.18,22.39,233617,6845,2.93,2025-08-24
Créa UGC Abonnement - Julie,Abonnement,Julie Bernard,UGC,Santé,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En pause,2325.57,61,3604.63,1.55,38.12,144871,3433,2.37,2025-08-09
Créa Podcast Vitamine D3+K2 - Paul,Vitamine D3+K2,Paul Martinez,Podcast,Éducation,Boostez votre immunité,Juillet 2025,En pause,1489.74,144,4424.53,2.97,10.35,246617,7177,2.91,2025-07-08
Créa Podcast Abonnement - Julie,Abonnement,Julie Bernard,Podcast,Testimonial,L'importance d'un bon mélange,Juillet 2025,En pause,1321.43,54,2087.86,1.58,24.47,97442,2875,2.95,2025-07-16
Créa Témoignage Shaker - Emma,Shaker,Emma Wilson,Témoignage,Éducation,Boostez votre immunité,Septembre 2025,En pause,2934.80,132,4226.11,1.44,22.23,222421,8341,3.75,2025-09-13
Créa Image statique AG1 Powder - Paul,AG1 Powder,Paul Martinez,Image statique,Convenience,Boostez votre immunité,Juillet 2025,En pause,2333.44,54,7840.36,3.36,43.21,134904,4681,3.47,2025-07-12
Créa Témoignage Omega-3 - Paul,Omega-3,Paul Martinez,Témoignage,Éducation,Ma transformation en 2 mois,Novembre 2025,En ligne,2106.84,23,6489.07,3.08,91.60,231444,4721,2.04,2025-11-03
Créa UGC Omega-3 - Dr.,Omega-3,Dr. Michael Lee,UGC,Convenience,Parfait pour voyager,Novembre 2025,Archivée,878.94,84,2803.82,3.19,10.46,246288,6748,2.74,2025-11-16
Créa Témoignage Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,Témoignage,Testimonial,Économisez avec le bundle,Juillet 2025,Archivée,2015.98,105,6975.29,3.46,19.20,165343,5787,3.50,2025-07-04
Créa Motion/Vidéo AG1 Travel Packs - Claire,AG1 Travel Packs,Claire Anderson,Motion/Vidéo,Valeur,Pourquoi les nutritionnistes recommandent AG1,Juillet 2025,En pause,928.52,143,1940.61,2.09,6.49,217804,6469,2.97,2025-07-12
Créa Témoignage Shaker - Pierre,Shaker,Pierre Moreau,Témoignage,Valeur,L'importance d'un bon mélange,Juillet 2025,En pause,1241.65,133,1775.56,1.43,9.34,125512,2774,2.21,2025-07-19
Créa Témoignage Shaker - Pierre,Shaker,Pierre Moreau,Témoignage,Accessoire,Économisez avec le bundle,Septembre 2025,En ligne,870.82,26,844.70,0.97,33.49,84239,3218,3.82,2025-09-20
Créa Image statique Abonnement - Marc,Abonnement,Marc Petit,Image statique,Convenience,Boostez votre immunité,Septembre 2025,En pause,1353.71,33,4250.65,3.14,41.02,202965,4587,2.26,2025-09-04
Créa Image statique Shaker - Anna,Shaker,Anna Schmidt,Image statique,Convenience,Essentiel en hiver,Août 2025,En ligne,901.33,99,2613.86,2.90,9.10,225691,8870,3.93,2025-08-06
Créa Motion/Vidéo Shaker - Dr.,Shaker,Dr. James Smith,Motion/Vidéo,Testimonial,Ne manquez jamais votre dose,Octobre 2025,En pause,1773.44,140,4469.07,2.52,12.67,76380,1955,2.56,2025-10-16
Créa Podcast Shaker - Lisa,Shaker,Lisa Garcia,Podcast,Testimonial,Ne manquez jamais votre dose,Juillet 2025,En pause,2551.46,146,8725.99,3.42,17.48,286759,11012,3.84,2025-07-05
Créa Témoignage Omega-3 - Dr.,Omega-3,Dr. Robert White,Témoignage,Accessoire,L'importance d'un bon mélange,Novembre 2025,Archivée,2124.20,77,3143.82,1.48,27.59,65935,1609,2.44,2025-11-16
Créa Podcast Shaker - Pierre,Shaker,Pierre Moreau,Podcast,Éducation,Ma transformation en 2 mois,Novembre 2025,Arrêtée,1257.60,146,1534.27,1.22,8.61,245878,5360,2.18,2025-11-04
Créa UGC Omega-3 - Julie,Omega-3,Julie Bernard,UGC,Testimonial,Le shaker qui change tout,Juillet 2025,En pause,2631.78,32,5632.01,2.14,82.24,122634,4574,3.73,2025-07-19
Créa Motion/Vidéo Shaker - Pierre,Shaker,Pierre Moreau,Motion/Vidéo,Accessoire,Mon expérience avec Omega-3,Septembre 2025,En pause,1871.04,63,2432.35,1.30,29.70,119789,3402,2.84,2025-09-07
Créa Image statique AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Image statique,Éducation,Ma transformation en 2 mois,Septembre 2025,Arrêtée,1070.50,72,3479.13,3.25,14.87,187655,4147,2.21,2025-09-07
Créa Podcast AG1 Powder - Sarah,AG1 Powder,Sarah Martin,Podcast,Accessoire,Je bois AG1 depuis 3 mois,Octobre 2025,Arrêtée,2358.40,109,1981.06,0.84,21.64,150397,5911,3.93,2025-10-18
Créa Motion/Vidéo Vitamine D3+K2 - Emma,Vitamine D3+K2,Emma Wilson,Motion/Vidéo,Santé,Le meilleur rapport qualité-prix,Novembre 2025,Archivée,564.92,46,1689.11,2.99,12.28,186930,7365,3.94,2025-11-10
Créa Image statique AG1 Powder - Laura,AG1 Powder,Laura Davis,Image statique,Éducation,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,Arrêtée,1676.66,106,1391.63,0.83,15.82,160732,5883,3.66,2025-09-23
Créa Motion/Vidéo AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Motion/Vidéo,Convenience,Boostez votre immunité,Octobre 2025,Arrêtée,1368.93,147,4216.30,3.08,9.31,219632,6172,2.81,2025-10-26
Créa Témoignage Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,Témoignage,Valeur,Économisez avec le bundle,Octobre 2025,En pause,1645.64,86,905.10,0.55,19.14,173582,4496,2.59,2025-10-12
Créa UGC Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,UGC,Testimonial,Mon expérience avec Omega-3,Juillet 2025,En pause,631.92,103,2135.89,3.38,6.14,116639,3464,2.97,2025-07-08
Créa Motion/Vidéo Bundle Complet - Paul,Bundle Complet,Paul Martinez,Motion/Vidéo,Testimonial,Emportez AG1 partout,Août 2025,En pause,2307.23,32,7406.21,3.21,72.10,58317,2187,3.75,2025-08-18
Créa Motion/Vidéo Vitamine D3+K2 - David,Vitamine D3+K2,David Chen,Motion/Vidéo,Accessoire,Le meilleur rapport qualité-prix,Septembre 2025,Arrêtée,2588.21,120,7221.11,2.79,21.57,257624,7961,3.09,2025-09-16
Créa Image statique AG1 Travel Packs - Tom,AG1 Travel Packs,Tom Brown,Image statique,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,En ligne,1761.43,61,5020.08,2.85,28.88,115892,3152,2.72,2025-11-18
Créa Motion/Vidéo AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Motion/Vidéo,Convenience,Mon expérience avec Omega-3,Septembre 2025,En pause,2655.24,110,2920.76,1.10,24.14,72584,1648,2.27,2025-09-06
Créa Image statique Shaker - Sarah,Shaker,Sarah Martin,Image statique,Convenience,Emportez AG1 partout,Septembre 2025,En pause,1250.38,110,3376.03,2.70,11.37,138687,3620,2.61,2025-09-16
Créa Image statique Abonnement - Marc,Abonnement,Marc Petit,Image statique,Convenience,Je bois AG1 depuis 3 mois,Octobre 2025,En pause,1595.31,82,4578.54,2.87,19.45,294805,6250,2.12,2025-10-26
Créa Podcast AG1 Powder - David,AG1 Powder,David Chen,Podcast,Accessoire,Économisez avec le bundle,Novembre 2025,Archivée,696.88,63,2034.89,2.92,11.06,291182,9551,3.28,2025-11-17
Créa UGC Shaker - Sarah,Shaker,Sarah Martin,UGC,Convenience,Parfait pour voyager,Septembre 2025,En ligne,2918.00,132,9979.56,3.42,22.11,236440,6999,2.96,2025-09-09
Créa Podcast AG1 Powder - Claire,AG1 Powder,Claire Anderson,Podcast,Accessoire,Ne manquez jamais votre dose,Juillet 2025,En pause,1052.49,112,2010.26,1.91,9.40,241541,9589,3.97,2025-07-09
Créa Podcast Bundle Complet - Emma,Bundle Complet,Emma Wilson,Podcast,Éducation,Emportez AG1 partout,Juillet 2025,Archivée,2625.41,67,2467.89,0.94,39.19,92332,3047,3.30,2025-07-28
Créa Témoignage Omega-3 - Anna,Omega-3,Anna Schmidt,Témoignage,Testimonial,Emportez AG1 partout,Octobre 2025,En pause,2419.08,42,3725.38,1.54,57.60,194671,6638,3.41,2025-10-16
Créa Motion/Vidéo Vitamine D3+K2 - Alex,Vitamine D3+K2,Alex Johnson,Motion/Vidéo,Testimonial,Économisez avec le bundle,Octobre 2025,Archivée,2893.37,75,3500.98,1.21,38.58,159208,3391,2.13,2025-10-25
Créa UGC Bundle Complet - David,Bundle Complet,David Chen,UGC,Testimonial,L'importance d'un bon mélange,Août 2025,En ligne,2413.57,80,2051.53,0.85,30.17,243464,7645,3.14,2025-08-06
Créa Témoignage Abonnement - Anna,Abonnement,Anna Schmidt,Témoignage,Convenience,Mon cœur me remercie,Septembre 2025,En ligne,2027.26,68,1723.17,0.85,29.81,98740,3476,3.52,2025-09-08
Créa Podcast Abonnement - Dr.,Abonnement,Dr. James Smith,Podcast,Convenience,Le meilleur rapport qualité-prix,Novembre 2025,Arrêtée,2643.25,97,7850.45,2.97,27.25,122249,3215,2.63,2025-11-27
Créa Motion/Vidéo AG1 Powder - Laura,AG1 Powder,Laura Davis,Motion/Vidéo,Éducation,Économisez avec le bundle,Septembre 2025,Arrêtée,1558.11,122,4923.63,3.16,12.77,294055,6499,2.21,2025-09-10
Créa Image statique Omega-3 - Emma,Omega-3,Emma Wilson,Image statique,Éducation,Économisez avec le bundle,Juillet 2025,Archivée,542.34,51,271.17,0.50,10.63,78808,2932,3.72,2025-07-05
Créa Podcast AG1 Travel Packs - Pierre,AG1 Travel Packs,Pierre Moreau,Podcast,Valeur,Boostez votre immunité,Août 2025,En ligne,1240.37,133,3857.55,3.11,9.33,266399,9244,3.47,2025-08-19
Créa Image statique Bundle Complet - Dr.,Bundle Complet,Dr. Michael Lee,Image statique,Santé,Économisez avec le bundle,Septembre 2025,En ligne,1563.00,146,3469.86,2.22,10.71,167799,5353,3.19,2025-09-06
Créa Podcast Shaker - Sophie,Shaker,Sophie Martin,Podcast,Convenience,Essentiel en hiver,Août 2025,En ligne,2408.84,72,6335.25,2.63,33.46,56357,1133,2.01,2025-08-02
Créa UGC Bundle Complet - Tom,Bundle Complet,Tom Brown,UGC,Convenience,Le meilleur rapport qualité-prix,Juillet 2025,Arrêtée,579.74,142,1918.94,3.31,4.08,286757,11212,3.91,2025-07-25
Créa UGC AG1 Powder - Anna,AG1 Powder,Anna Schmidt,UGC,Éducation,N'oubliez plus jamais,Novembre 2025,Arrêtée,2437.32,113,5094.00,2.09,21.57,87014,1792,2.06,2025-11-08
Créa UGC Abonnement - Pierre,Abonnement,Pierre Moreau,UGC,Convenience,Ne manquez jamais votre dose,Août 2025,En ligne,2236.66,67,7269.15,3.25,33.38,64690,1947,3.01,2025-08-08
Créa Image statique AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Image statique,Convenience,Je bois AG1 depuis 3 mois,Juillet 2025,Archivée,2847.72,117,6464.32,2.27,24.34,56825,1585,2.79,2025-07-16
Créa Motion/Vidéo Shaker - Alex,Shaker,Alex Johnson,Motion/Vidéo,Accessoire,Mon cœur me remercie,Octobre 2025,En ligne,969.84,122,3151.98,3.25,7.95,79721,2647,3.32,2025-10-02
Créa Podcast Bundle Complet - Dr.,Bundle Complet,Dr. Robert White,Podcast,Éducation,Le meilleur rapport qualité-prix,Octobre 2025,En ligne,886.91,103,2403.53,2.71,8.61,246998,6644,2.69,2025-10-04
Créa UGC Abonnement - Tom,Abonnement,Tom Brown,UGC,Accessoire,Ne manquez jamais votre dose,Juillet 2025,Arrêtée,649.19,75,1960.55,3.02,8.66,148594,4651,3.13,2025-07-22
Créa Podcast Bundle Complet - Emma,Bundle Complet,Emma Wilson,Podcast,Santé,Emportez AG1 partout,Août 2025,En pause,1304.63,53,3026.74,2.32,24.62,228311,7808,3.42,2025-08-16
Créa UGC Bundle Complet - Marc,Bundle Complet,Marc Petit,UGC,Valeur,Ne manquez jamais votre dose,Juillet 2025,En ligne,2474.25,89,4280.45,1.73,27.80,299189,9993,3.34,2025-07-28
Créa Image statique Omega-3 - Tom,Omega-3,Tom Brown,Image statique,Convenience,Boostez votre immunité,Octobre 2025,En pause,1930.30,112,1679.36,0.87,17.23,213247,5246,2.46,2025-10-24
Créa Motion/Vidéo Vitamine D3+K2 - Claire,Vitamine D3+K2,Claire Anderson,Motion/Vidéo,Valeur,Parfait pour voyager,Novembre 2025,Arrêtée,1675.00,111,4572.75,2.73,15.09,67763,2385,3.52,2025-11-09
Créa Image statique Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,Image statique,Convenience,Je bois AG1 depuis 3 mois,Novembre 2025,En ligne,2382.93,18,2454.42,1.03,132.39,89961,1808,2.01,2025-11-16
Créa Témoignage Vitamine D3+K2 - Marc,Vitamine D3+K2,Marc Petit,Témoignage,Accessoire,Emportez AG1 partout,Septembre 2025,En pause,2226.74,54,5633.65,2.53,41.24,108535,3983,3.67,2025-09-26
Créa Motion/Vidéo Abonnement - Dr.,Abonnement,Dr. James Smith,Motion/Vidéo,Éducation,Boostez votre immunité,Août 2025,En ligne,1716.92,149,2249.17,1.31,11.52,195950,6368,3.25,2025-08-20
Créa Podcast AG1 Powder - Sophie,AG1 Powder,Sophie Martin,Podcast,Valeur,Mon expérience avec Omega-3,Août 2025,Arrêtée,2808.82,72,3202.05,1.14,39.01,123483,4766,3.86,2025-08-20
Créa UGC AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Michael Lee,UGC,Convenience,N'oubliez plus jamais,Juillet 2025,Archivée,1082.48,74,2987.64,2.76,14.63,259344,9181,3.54,2025-07-04
Créa Image statique AG1 Travel Packs - Lisa,AG1 Travel Packs,Lisa Garcia,Image statique,Accessoire,Boostez votre immunité,Août 2025,Archivée,969.15,52,3014.06,3.11,18.64,254152,8616,3.39,2025-08-26
Créa Image statique Shaker - Kevin,Shaker,Kevin Taylor,Image statique,Éducation,Je bois AG1 depuis 3 mois,Septembre 2025,En pause,2539.13,113,8125.22,3.20,22.47,297769,10303,3.46,2025-09-15
Créa Podcast Omega-3 - David,Omega-3,David Chen,Podcast,Valeur,Ma transformation en 2 mois,Septembre 2025,Arrêtée,1023.13,106,1677.93,1.64,9.65,136626,5041,3.69,2025-09-07
Créa Podcast Abonnement - Paul,Abonnement,Paul Martinez,Podcast,Convenience,Essentiel en hiver,Novembre 2025,En ligne,1373.51,41,1854.24,1.35,33.50,277359,9208,3.32,2025-11-19
Créa Motion/Vidéo Bundle Complet - Dr.,Bundle Complet,Dr. Michael Lee,Motion/Vidéo,Convenience,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Arrêtée,692.01,129,1328.66,1.92,5.36,237684,5277,2.22,2025-11-09
Créa Témoignage Omega-3 - Claire,Omega-3,Claire Anderson,Témoignage,Testimonial,Je bois AG1 depuis 3 mois,Novembre 2025,En pause,1042.04,100,989.94,0.95,10.42,166818,6089,3.65,2025-11-01
Créa Motion/Vidéo Vitamine D3+K2 - Sophie,Vitamine D3+K2,Sophie Martin,Motion/Vidéo,Éducation,Le shaker qui change tout,Novembre 2025,Archivée,727.92,98,1019.09,1.40,7.43,232006,8213,3.54,2025-11-05
Créa Motion/Vidéo Shaker - Anna,Shaker,Anna Schmidt,Motion/Vidéo,Accessoire,Essentiel en hiver,Août 2025,Archivée,1508.36,100,4947.42,3.28,15.08,232472,8787,3.78,2025-08-27
Créa Podcast AG1 Powder - Laura,AG1 Powder,Laura Davis,Podcast,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En ligne,1647.73,66,2405.69,1.46,24.97,296820,9914,3.34,2025-10-20
Créa UGC AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,UGC,Valeur,Le shaker qui change tout,Juillet 2025,Arrêtée,2347.81,27,6268.65,2.67,86.96,165710,6280,3.79,2025-07-08
Créa Motion/Vidéo Shaker - Paul,Shaker,Paul Martinez,Motion/Vidéo,Convenience,Ma transformation en 2 mois,Octobre 2025,Arrêtée,2424.13,34,5914.88,2.44,71.30,127104,4360,3.43,2025-10-15
Créa Témoignage AG1 Powder - Alex,AG1 Powder,Alex Johnson,Témoignage,Éducation,Essentiel en hiver,Septembre 2025,Archivée,1812.25,107,5038.05,2.78,16.94,258847,9862,3.81,2025-09-12
Créa Podcast Abonnement - Kevin,Abonnement,Kevin Taylor,Podcast,Éducation,Essentiel en hiver,Octobre 2025,Archivée,2593.64,68,1919.29,0.74,38.14,126996,3442,2.71,2025-10-06
Créa UGC Shaker - David,Shaker,David Chen,UGC,Éducation,Parfait pour voyager,Août 2025,Arrêtée,955.78,106,879.32,0.92,9.02,109433,3403,3.11,2025-08-13
Créa Motion/Vidéo Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Michael Lee,Motion/Vidéo,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En ligne,907.71,50,2532.51,2.79,18.15,52988,1998,3.77,2025-10-02
Créa Image statique Bundle Complet - Claire,Bundle Complet,Claire Anderson,Image statique,Testimonial,Économisez avec le bundle,Juillet 2025,Arrêtée,2071.63,65,5469.10,2.64,31.87,216042,6006,2.78,2025-07-03
Créa Podcast AG1 Powder - Kevin,AG1 Powder,Kevin Taylor,Podcast,Valeur,Mon cœur me remercie,Août 2025,Archivée,2270.05,87,4494.70,1.98,26.09,102808,2293,2.23,2025-08-21
Créa UGC Omega-3 - David,Omega-3,David Chen,UGC,Valeur,Mon expérience avec Omega-3,Juillet 2025,Archivée,1543.01,117,2437.96,1.58,13.19,189660,4362,2.30,2025-07-18
Créa Image statique AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Image statique,Santé,Boostez votre immunité,Octobre 2025,En ligne,2612.61,39,8699.99,3.33,66.99,224183,5448,2.43,2025-10-22
Créa Podcast Abonnement - Julie,Abonnement,Julie Bernard,Podcast,Testimonial,Je bois AG1 depuis 3 mois,Septembre 2025,En ligne,662.70,105,828.38,1.25,6.31,161099,3303,2.05,2025-09-05
Créa Témoignage Bundle Complet - Alex,Bundle Complet,Alex Johnson,Témoignage,Convenience,Ne manquez jamais votre dose,Octobre 2025,En ligne,1483.00,38,2372.80,1.60,39.03,178087,5628,3.16,2025-10-16
Créa Motion/Vidéo AG1 Powder - Laura,AG1 Powder,Laura Davis,Motion/Vidéo,Convenience,Le meilleur rapport qualité-prix,Juillet 2025,En ligne,1326.17,123,2824.74,2.13,10.78,147006,4866,3.31,2025-07-24
Créa UGC AG1 Powder - Sarah,AG1 Powder,Sarah Martin,UGC,Santé,Mon cœur me remercie,Juillet 2025,En pause,1033.76,142,2067.52,2.00,7.28,295226,7322,2.48,2025-07-25
Créa Image statique AG1 Powder - Dr.,AG1 Powder,Dr. Michael Lee,Image statique,Convenience,Essentiel en hiver,Août 2025,Arrêtée,2458.30,95,4990.35,2.03,25.88,115013,4255,3.70,2025-08-27
Créa Témoignage AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. James Smith,Témoignage,Valeur,L'importance d'un bon mélange,Septembre 2025,En pause,1310.22,80,3380.37,2.58,16.38,197357,4441,2.25,2025-09-19
Créa UGC Shaker - Tom,Shaker,Tom Brown,UGC,Santé,Je bois AG1 depuis 3 mois,Octobre 2025,En pause,1654.84,38,3028.36,1.83,43.55,239953,8422,3.51,2025-10-27
Créa Image statique Vitamine D3+K2 - Lisa,Vitamine D3+K2,Lisa Garcia,Image statique,Santé,Ne manquez jamais votre dose,Novembre 2025,En ligne,636.51,98,1209.37,1.90,6.50,123470,2655,2.15,2025-11-14
Créa UGC Omega-3 - Alex,Omega-3,Alex Johnson,UGC,Accessoire,Le meilleur rapport qualité-prix,Août 2025,En pause,1691.04,17,4701.09,2.78,99.47,183236,4159,2.27,2025-08-21
Créa Témoignage Shaker - Tom,Shaker,Tom Brown,Témoignage,Testimonial,Économisez avec le bundle,Juillet 2025,Archivée,1417.31,95,4393.66,3.10,14.92,127349,3044,2.39,2025-07-19
Créa UGC Omega-3 - Dr.,Omega-3,Dr. James Smith,UGC,Santé,Le shaker qui change tout,Juillet 2025,Arrêtée,1060.03,96,2141.26,2.02,11.04,257275,10085,3.92,2025-07-22
Créa Motion/Vidéo Shaker - Marc,Shaker,Marc Petit,Motion/Vidéo,Accessoire,Le meilleur rapport qualité-prix,Août 2025,Arrêtée,1477.09,66,738.55,0.50,22.38,290312,8158,2.81,2025-08-08
Créa Podcast AG1 Travel Packs - Emma,AG1 Travel Packs,Emma Wilson,Podcast,Convenience,Emportez AG1 partout,Août 2025,En ligne,814.29,131,2467.30,3.03,6.22,82643,1793,2.17,2025-08-20
Créa Podcast Vitamine D3+K2 - Laura,Vitamine D3+K2,Laura Davis,Podcast,Valeur,L'importance d'un bon mélange,Juillet 2025,Archivée,1874.31,103,2717.75,1.45,18.20,196208,7829,3.99,2025-07-19
Créa Témoignage AG1 Travel Packs - Paul,AG1 Travel Packs,Paul Martinez,Témoignage,Valeur,Le shaker qui change tout,Juillet 2025,En ligne,2170.51,60,6989.04,3.22,36.18,200428,6193,3.09,2025-07-12
Créa UGC AG1 Powder - Alex,AG1 Powder,Alex Johnson,UGC,Valeur,Ne manquez jamais votre dose,Août 2025,En ligne,2363.30,23,2032.44,0.86,102.75,220417,6106,2.77,2025-08-13
Créa Podcast Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Michael Lee,Podcast,Accessoire,Le meilleur rapport qualité-prix,Juillet 2025,Archivée,576.52,123,1164.57,2.02,4.69,96446,3231,3.35,2025-07-25
Créa Motion/Vidéo Abonnement - Marc,Abonnement,Marc Petit,Motion/Vidéo,Accessoire,Boostez votre immunité,Août 2025,Archivée,1735.23,120,1422.89,0.82,14.46,258613,7370,2.85,2025-08-21
